a	b	eval0	eval1	eval2
3	3	2102.03	1014.47	-0.851986
4	3	7748.77	3824.77	-1.08163
5	3	24424.1	12404	-1.24783
6	3	69748.3	36521	-1.36745
7	3	186508	100745	-1.45186
8	3	476688	265603	-1.50916
9	3	1.18063e+06	678248	-1.54531
10	3	2.86115e+06	1.69358e+06	-1.56487
11	3	6.83298e+06	4.16408e+06	-1.57138
12	3	1.61684e+07	1.01354e+07	-1.56765
13	3	3.80662e+07	2.45226e+07	-1.55597
14	3	8.94677e+07	5.91727e+07	-1.5382
15	3	2.10475e+08	1.42773e+08	-1.51587
16	3	4.96669e+08	3.45189e+08	-1.49026
17	3	1.17762e+09	8.37692e+08	-1.46243
18	3	2.80927e+09	2.0432e+09	-1.43325
19	3	6.74978e+09	5.01406e+09	-1.40346
20	3	1.63467e+10	1.23897e+10	-1.37363
21	3	3.99259e+10	3.08436e+10	-1.34427
22	3	9.83816e+10	7.7386e+10	-1.31573
23	3	2.44616e+11	1.95721e+11	-1.2883
24	3	6.13752e+11	4.99024e+11	-1.26228
25	3	1.55375e+12	1.28254e+12	-1.23774
26	3	3.96723e+12	3.3216e+12	-1.21441
27	3	1.02186e+13	8.66985e+12	-1.19342
28	3	2.655e+13	2.28049e+13	-1.17537
29	3	6.95733e+13	6.04403e+13	-1.16075
